date,day_idx,day_of_week,is_weekend,machine_id,product_id,product_name,category,daily_sales
2026-01-01,0,3,0,VM-101,prod-1,Nitro Cold Brew,Coffee & Tea,20
2026-01-01,0,3,0,VM-101,prod-2,Matcha Green Tea Latte,Coffee & Tea,14
2026-01-01,0,3,0,VM-101,prod-3,Electrolyte Spark Hydration,Hydration,9
2026-01-01,0,3,0,VM-101,prod-4,Dark Chocolate Almond Bar,Snacks,18
2026-01-01,0,3,0,VM-101,prod-5,Dragonfruit Sparkling Water,Hydration,10
2026-01-01,0,3,0,VM-101,prod-6,Organic Protein Crunch Bar,Snacks,8
2026-01-01,0,3,0,VM-101,prod-7,Detox Green Juice,Fresh Juices,13
2026-01-01,0,3,0,VM-101,prod-8,Mango Passion Kombucha,Fresh Juices,9
2026-01-01,0,3,0,VM-102,prod-1,Nitro Cold Brew,Coffee & Tea,15
2026-01-01,0,3,0,VM-102,prod-2,Matcha Green Tea Latte,Coffee & Tea,18
2026-01-01,0,3,0,VM-102,prod-3,Electrolyte Spark Hydration,Hydration,15
2026-01-01,0,3,0,VM-102,prod-4,Dark Chocolate Almond Bar,Snacks,24
2026-01-01,0,3,0,VM-102,prod-5,Dragonfruit Sparkling Water,Hydration,11
2026-01-01,0,3,0,VM-102,prod-6,Organic Protein Crunch Bar,Snacks,18
2026-01-01,0,3,0,VM-102,prod-7,Detox Green Juice,Fresh Juices,12
2026-01-01,0,3,0,VM-102,prod-8,Mango Passion Kombucha,Fresh Juices,19
2026-01-01,0,3,0,VM-103,prod-1,Nitro Cold Brew,Coffee & Tea,17
2026-01-01,0,3,0,VM-103,prod-2,Matcha Green Tea Latte,Coffee & Tea,22
2026-01-01,0,3,0,VM-103,prod-3,Electrolyte Spark Hydration,Hydration,14
2026-01-01,0,3,0,VM-103,prod-4,Dark Chocolate Almond Bar,Snacks,37
2026-01-01,0,3,0,VM-103,prod-5,Dragonfruit Sparkling Water,Hydration,6
2026-01-01,0,3,0,VM-103,prod-6,Organic Protein Crunch Bar,Snacks,12
2026-01-01,0,3,0,VM-103,prod-7,Detox Green Juice,Fresh Juices,9
2026-01-01,0,3,0,VM-103,prod-8,Mango Passion Kombucha,Fresh Juices,16
2026-01-01,0,3,0,VM-104,prod-1,Nitro Cold Brew,Coffee & Tea,16
2026-01-01,0,3,0,VM-104,prod-2,Matcha Green Tea Latte,Coffee & Tea,17
2026-01-01,0,3,0,VM-104,prod-3,Electrolyte Spark Hydration,Hydration,20
2026-01-01,0,3,0,VM-104,prod-4,Dark Chocolate Almond Bar,Snacks,24
2026-01-01,0,3,0,VM-104,prod-5,Dragonfruit Sparkling Water,Hydration,6
2026-01-01,0,3,0,VM-104,prod-6,Organic Protein Crunch Bar,Snacks,10
2026-01-01,0,3,0,VM-104,prod-7,Detox Green Juice,Fresh Juices,7
2026-01-01,0,3,0,VM-104,prod-8,Mango Passion Kombucha,Fresh Juices,18
2026-01-01,0,3,0,VM-105,prod-1,Nitro Cold Brew,Coffee & Tea,16
2026-01-01,0,3,0,VM-105,prod-2,Matcha Green Tea Latte,Coffee & Tea,9
2026-01-01,0,3,0,VM-105,prod-3,Electrolyte Spark Hydration,Hydration,9
2026-01-01,0,3,0,VM-105,prod-4,Dark Chocolate Almond Bar,Snacks,27
2026-01-01,0,3,0,VM-105,prod-5,Dragonfruit Sparkling Water,Hydration,4
2026-01-01,0,3,0,VM-105,prod-6,Organic Protein Crunch Bar,Snacks,21
2026-01-01,0,3,0,VM-105,prod-7,Detox Green Juice,Fresh Juices,11
2026-01-01,0,3,0,VM-105,prod-8,Mango Passion Kombucha,Fresh Juices,13
2026-01-01,0,3,0,VM-106,prod-1,Nitro Cold Brew,Coffee & Tea,28
2026-01-01,0,3,0,VM-106,prod-2,Matcha Green Tea Latte,Coffee & Tea,11
2026-01-01,0,3,0,VM-106,prod-3,Electrolyte Spark Hydration,Hydration,12
2026-01-01,0,3,0,VM-106,prod-4,Dark Chocolate Almond Bar,Snacks,26
2026-01-01,0,3,0,VM-106,prod-5,Dragonfruit Sparkling Water,Hydration,16
2026-01-01,0,3,0,VM-106,prod-6,Organic Protein Crunch Bar,Snacks,13
2026-01-01,0,3,0,VM-106,prod-7,Detox Green Juice,Fresh Juices,12
